{'time': 48.83, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 48.87, 'color': 'yellow', 'zone': 2, 'Event': 'Exit'}
{'time': 48.87, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 48.9, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 48.93, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 49.53, 'color': 'yellow', 'zone': 3, 'Event': 'Entry'}
{'time': 51.87, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 55.0, 'color': 'dark-green', 'zone': 1, 'Event': 'Entry'}
{'time': 55.07, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 55.07, 'color': 'dark-green', 'zone': 1, 'Event': 'Exit'}
{'time': 55.07, 'color': 'dark-green', 'zone': 4, 'Event': 'Entry'}
{'time': 55.1, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 55.43, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 55.47, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 55.47, 'color': 'dark-green', 'zone': 4, 'Event': 'Exit'}
{'time': 55.47, 'color': 'dark-green', 'zone': 1, 'Event': 'Entry'}
{'time': 55.57, 'color': 'dark-green', 'zone': 1, 'Event': 'Exit'}
{'time': 56.57, 'color': 'dark-green', 'zone': 1, 'Event': 'Entry'}
{'time': 56.67, 'color': 'dark-green', 'zone': 1, 'Event': 'Exit'}
{'time': 56.67, 'color': 'dark-green', 'zone': 4, 'Event': 'Entry'}
{'time': 63.97, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 64.87, 'color': 'dark-green', 'zone': 4, 'Event': 'Exit'}
{'time': 64.97, 'color': 'dark-green', 'zone': 4, 'Event': 'Entry'}
{'time': 65.0, 'color': 'dark-green', 'zone': 4, 'Event': 'Exit'}
{'time': 65.0, 'color': 'dark-green', 'zone': 1, 'Event': 'Entry'}
{'time': 65.03, 'color': 'dark-green', 'zone': 1, 'Event': 'Exit'}
{'time': 66.57, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 66.6, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 66.63, 'color': 'yellow', 'zone': 3, 'Event': 'Exit'}
{'time': 69.57, 'color': 'yellow', 'zone': 1, 'Event': 'Entry'}
{'time': 69.77, 'color': 'yellow', 'zone': 1, 'Event': 'Exit'}
{'time': 70.03, 'color': 'yellow', 'zone': 1, 'Event': 'Entry'}
{'time': 70.2, 'color': 'yellow', 'zone': 1, 'Event': 'Exit'}
{'time': 70.5, 'color': 'yellow', 'zone': 1, 'Event': 'Entry'}
{'time': 72.3, 'color': 'yellow', 'zone': 1, 'Event': 'Exit'}
{'time': 72.4, 'color': 'yellow', 'zone': 1, 'Event': 'Entry'}
{'time': 72.77, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 72.8, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 73.77, 'color': 'yellow', 'zone': 1, 'Event': 'Exit'}
{'time': 74.03, 'color': 'yellow', 'zone': 1, 'Event': 'Entry'}
